Unnamed: 0,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,cluster
0,18.0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu,3
1,15.0,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320,2
2,18.0,8,318.0,150.0,3436.0,11.0,70,1,plymouth satellite,3
3,16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst,3
4,17.0,8,302.0,140.0,3449.0,10.5,70,1,ford torino,3
5,15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500,2
6,14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala,2
7,14.0,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii,2
8,14.0,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina,2
9,15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl,2
10,15.0,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se,3
11,14.0,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340,3
12,15.0,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo,2
13,14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw),3
14,24.0,4,113.0,95.0,2372.0,15.0,70,3,toyota corona mark ii,1
15,22.0,6,198.0,95.0,2833.0,15.5,70,1,plymouth duster,3
16,18.0,6,199.0,97.0,2774.0,15.5,70,1,amc hornet,3
17,21.0,6,200.0,85.0,2587.0,16.0,70,1,ford maverick,1
18,27.0,4,97.0,88.0,2130.0,14.5,70,3,datsun pl510,1
19,26.0,4,97.0,46.0,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan,1
20,25.0,4,110.0,87.0,2672.0,17.5,70,2,peugeot 504,1
21,24.0,4,107.0,90.0,2430.0,14.5,70,2,audi 100 ls,1
22,25.0,4,104.0,95.0,2375.0,17.5,70,2,saab 99e,1
23,26.0,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002,1
24,21.0,6,199.0,90.0,2648.0,15.0,70,1,amc gremlin,1
25,10.0,8,360.0,215.0,4615.0,14.0,70,1,ford f250,2
26,10.0,8,307.0,200.0,4376.0,15.0,70,1,chevy c20,2
27,11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200,2
28,9.0,8,304.0,193.0,4732.0,18.5,70,1,hi 1200d,2
29,27.0,4,97.0,88.0,2130.0,14.5,71,3,datsun pl510,1
30,28.0,4,140.0,90.0,2264.0,15.5,71,1,chevrolet vega 2300,1
31,25.0,4,113.0,95.0,2228.0,14.0,71,3,toyota corona,1
32,25.0,4,98.0,104.46938775510205,2046.0,19.0,71,1,ford pinto,1
33,19.0,6,232.0,100.0,2634.0,13.0,71,1,amc gremlin,1
34,16.0,6,225.0,105.0,3439.0,15.5,71,1,plymouth satellite custom,3
35,17.0,6,250.0,100.0,3329.0,15.5,71,1,chevrolet chevelle malibu,3
36,19.0,6,250.0,88.0,3302.0,15.5,71,1,ford torino 500,3
37,18.0,6,232.0,100.0,3288.0,15.5,71,1,amc matador,3
38,14.0,8,350.0,165.0,4209.0,12.0,71,1,chevrolet impala,2
39,14.0,8,400.0,175.0,4464.0,11.5,71,1,pontiac catalina brougham,2
40,14.0,8,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500,2
41,14.0,8,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii,2
42,12.0,8,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw),2
43,13.0,8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw),2
44,13.0,8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw),2
45,18.0,6,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw),3
46,22.0,4,140.0,72.0,2408.0,19.0,71,1,chevrolet vega (sw),1
47,19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird,3
48,18.0,6,250.0,88.0,3139.0,14.5,71,1,ford mustang,3
49,23.0,4,122.0,86.0,2220.0,14.0,71,1,mercury capri 2000,1
50,28.0,4,116.0,90.0,2123.0,14.0,71,2,opel 1900,1
51,30.0,4,79.0,70.0,2074.0,19.5,71,2,peugeot 304,1
52,30.0,4,88.0,76.0,2065.0,14.5,71,2,fiat 124b,1
53,31.0,4,71.0,65.0,1773.0,19.0,71,3,toyota corolla 1200,1
54,35.0,4,72.0,69.0,1613.0,18.0,71,3,datsun 1200,1
55,27.0,4,97.0,60.0,1834.0,19.0,71,2,volkswagen model 111,1
56,26.0,4,91.0,70.0,1955.0,20.5,71,1,plymouth cricket,1
57,24.0,4,113.0,95.0,2278.0,15.5,72,3,toyota corona hardtop,1
58,25.0,4,97.5,80.0,2126.0,17.0,72,1,dodge colt hardtop,1
59,23.0,4,97.0,54.0,2254.0,23.5,72,2,volkswagen type 3,1
60,20.0,4,140.0,90.0,2408.0,19.5,72,1,chevrolet vega,1
61,21.0,4,122.0,86.0,2226.0,16.5,72,1,ford pinto runabout,1
62,13.0,8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala,2
63,14.0,8,400.0,175.0,4385.0,12.0,72,1,pontiac catalina,2
64,15.0,8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii,2
65,14.0,8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500,2
66,17.0,8,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst,3
67,11.0,8,429.0,208.0,4633.0,11.0,72,1,mercury marquis,2
68,13.0,8,350.0,155.0,4502.0,13.5,72,1,buick lesabre custom,2
69,12.0,8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale,2
70,13.0,8,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal,2
71,19.0,3,70.0,97.0,2330.0,13.5,72,3,mazda rx2 coupe,1
72,15.0,8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw),2
73,13.0,8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw),2
74,13.0,8,302.0,140.0,4294.0,16.0,72,1,ford gran torino (sw),2
75,14.0,8,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw),2
76,18.0,4,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw),3
77,22.0,4,121.0,76.0,2511.0,18.0,72,2,volkswagen 411 (sw),1
78,21.0,4,120.0,87.0,2979.0,19.5,72,2,peugeot 504 (sw),3
79,26.0,4,96.0,69.0,2189.0,18.0,72,2,renault 12 (sw),1
80,22.0,4,122.0,86.0,2395.0,16.0,72,1,ford pinto (sw),1
81,28.0,4,97.0,92.0,2288.0,17.0,72,3,datsun 510 (sw),1
82,23.0,4,120.0,97.0,2506.0,14.5,72,3,toyouta corona mark ii (sw),1
83,28.0,4,98.0,80.0,2164.0,15.0,72,1,dodge colt (sw),1
84,27.0,4,97.0,88.0,2100.0,16.5,72,3,toyota corolla 1600 (sw),1
85,13.0,8,350.0,175.0,4100.0,13.0,73,1,buick century 350,2
86,14.0,8,304.0,150.0,3672.0,11.5,73,1,amc matador,3
87,13.0,8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu,2
88,14.0,8,302.0,137.0,4042.0,14.5,73,1,ford gran torino,2
89,15.0,8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom,2
90,12.0,8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham,2
91,13.0,8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic,2
92,13.0,8,351.0,158.0,4363.0,13.0,73,1,ford ltd,2
93,14.0,8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan,2
94,13.0,8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham,2
95,12.0,8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom,2
96,13.0,8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham,2
97,18.0,6,225.0,105.0,3121.0,16.5,73,1,plymouth valiant,3
98,16.0,6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom,3
99,18.0,6,232.0,100.0,2945.0,16.0,73,1,amc hornet,3
100,18.0,6,250.0,88.0,3021.0,16.5,73,1,ford maverick,3
101,23.0,6,198.0,95.0,2904.0,16.0,73,1,plymouth duster,3
102,26.0,4,97.0,46.0,1950.0,21.0,73,2,volkswagen super beetle,1
103,11.0,8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala,2
104,12.0,8,400.0,167.0,4906.0,12.5,73,1,ford country,2
105,13.0,8,360.0,170.0,4654.0,13.0,73,1,plymouth custom suburb,2
106,12.0,8,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser,2
107,18.0,6,232.0,100.0,2789.0,15.0,73,1,amc gremlin,3
108,20.0,4,97.0,88.0,2279.0,19.0,73,3,toyota carina,1
109,21.0,4,140.0,72.0,2401.0,19.5,73,1,chevrolet vega,1
110,22.0,4,108.0,94.0,2379.0,16.5,73,3,datsun 610,1
111,18.0,3,70.0,90.0,2124.0,13.5,73,3,maxda rx3,1
112,19.0,4,122.0,85.0,2310.0,18.5,73,1,ford pinto,1
113,21.0,6,155.0,107.0,2472.0,14.0,73,1,mercury capri v6,1
114,26.0,4,98.0,90.0,2265.0,15.5,73,2,fiat 124 sport coupe,1
115,15.0,8,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s,2
116,16.0,8,400.0,230.0,4278.0,9.5,73,1,pontiac grand prix,2
117,29.0,4,68.0,49.0,1867.0,19.5,73,2,fiat 128,1
118,24.0,4,116.0,75.0,2158.0,15.5,73,2,opel manta,1
119,20.0,4,114.0,91.0,2582.0,14.0,73,2,audi 100ls,1
120,19.0,4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea,3
121,15.0,8,318.0,150.0,3399.0,11.0,73,1,dodge dart custom,3
122,24.0,4,121.0,110.0,2660.0,14.0,73,2,saab 99le,1
123,20.0,6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii,3
124,11.0,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega,3
125,20.0,6,198.0,95.0,3102.0,16.5,74,1,plymouth duster,3
126,21.0,6,200.0,104.46938775510205,2875.0,17.0,74,1,ford maverick,3
127,19.0,6,232.0,100.0,2901.0,16.0,74,1,amc hornet,3
128,15.0,6,250.0,100.0,3336.0,17.0,74,1,chevrolet nova,3
129,31.0,4,79.0,67.0,1950.0,19.0,74,3,datsun b210,1
130,26.0,4,122.0,80.0,2451.0,16.5,74,1,ford pinto,1
131,32.0,4,71.0,65.0,1836.0,21.0,74,3,toyota corolla 1200,1
132,25.0,4,140.0,75.0,2542.0,17.0,74,1,chevrolet vega,1
133,16.0,6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic,2
134,16.0,6,258.0,110.0,3632.0,18.0,74,1,amc matador,3
135,18.0,6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring,3
136,16.0,8,302.0,140.0,4141.0,14.0,74,1,ford gran torino,2
137,13.0,8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw),2
138,14.0,8,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw),2
139,14.0,8,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw),2
140,14.0,8,304.0,150.0,4257.0,15.5,74,1,amc matador (sw),2
141,29.0,4,98.0,83.0,2219.0,16.5,74,2,audi fox,1
142,26.0,4,79.0,67.0,1963.0,15.5,74,2,volkswagen dasher,1
143,26.0,4,97.0,78.0,2300.0,14.5,74,2,opel manta,1
144,31.0,4,76.0,52.0,1649.0,16.5,74,3,toyota corona,1
145,32.0,4,83.0,61.0,2003.0,19.0,74,3,datsun 710,1
146,28.0,4,90.0,75.0,2125.0,14.5,74,1,dodge colt,1
147,24.0,4,90.0,75.0,2108.0,15.5,74,2,fiat 128,1
148,26.0,4,116.0,75.0,2246.0,14.0,74,2,fiat 124 tc,1
149,24.0,4,120.0,97.0,2489.0,15.0,74,3,honda civic,1
150,26.0,4,108.0,93.0,2391.0,15.5,74,3,subaru,1
151,31.0,4,79.0,67.0,2000.0,16.0,74,2,fiat x1.9,1
152,19.0,6,225.0,95.0,3264.0,16.0,75,1,plymouth valiant custom,3
153,18.0,6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova,3
154,15.0,6,250.0,72.0,3432.0,21.0,75,1,mercury monarch,3
155,15.0,6,250.0,72.0,3158.0,19.5,75,1,ford maverick,3
156,16.0,8,400.0,170.0,4668.0,11.5,75,1,pontiac catalina,2
157,15.0,8,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air,2
158,16.0,8,318.0,150.0,4498.0,14.5,75,1,plymouth grand fury,2
159,14.0,8,351.0,148.0,4657.0,13.5,75,1,ford ltd,2
160,17.0,6,231.0,110.0,3907.0,21.0,75,1,buick century,2
161,16.0,6,250.0,105.0,3897.0,18.5,75,1,chevroelt chevelle malibu,2
162,15.0,6,258.0,110.0,3730.0,19.0,75,1,amc matador,2
163,18.0,6,225.0,95.0,3785.0,19.0,75,1,plymouth fury,2
164,21.0,6,231.0,110.0,3039.0,15.0,75,1,buick skyhawk,3
165,20.0,8,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2,3
166,13.0,8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii,3
167,29.0,4,97.0,75.0,2171.0,16.0,75,3,toyota corolla,1
168,23.0,4,140.0,83.0,2639.0,17.0,75,1,ford pinto,1
169,20.0,6,232.0,100.0,2914.0,16.0,75,1,amc gremlin,3
170,23.0,4,140.0,78.0,2592.0,18.5,75,1,pontiac astro,1
171,24.0,4,134.0,96.0,2702.0,13.5,75,3,toyota corona,3
172,25.0,4,90.0,71.0,2223.0,16.5,75,2,volkswagen dasher,1
173,24.0,4,119.0,97.0,2545.0,17.0,75,3,datsun 710,1
174,18.0,6,171.0,97.0,2984.0,14.5,75,1,ford pinto,3
175,29.0,4,90.0,70.0,1937.0,14.0,75,2,volkswagen rabbit,1
176,19.0,6,232.0,90.0,3211.0,17.0,75,1,amc pacer,3
177,23.0,4,115.0,95.0,2694.0,15.0,75,2,audi 100ls,3
178,23.0,4,120.0,88.0,2957.0,17.0,75,2,peugeot 504,3
179,22.0,4,121.0,98.0,2945.0,14.5,75,2,volvo 244dl,3
180,25.0,4,121.0,115.0,2671.0,13.5,75,2,saab 99le,1
181,33.0,4,91.0,53.0,1795.0,17.5,75,3,honda civic cvcc,1
182,28.0,4,107.0,86.0,2464.0,15.5,76,2,fiat 131,1
183,25.0,4,116.0,81.0,2220.0,16.9,76,2,opel 1900,1
184,25.0,4,140.0,92.0,2572.0,14.9,76,1,capri ii,1
185,26.0,4,98.0,79.0,2255.0,17.7,76,1,dodge colt,1
186,27.0,4,101.0,83.0,2202.0,15.3,76,2,renault 12tl,1
187,17.5,8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic,2
188,16.0,8,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham,2
189,15.5,8,304.0,120.0,3962.0,13.9,76,1,amc matador,2
190,14.5,8,351.0,152.0,4215.0,12.8,76,1,ford gran torino,2
191,22.0,6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant,3
192,22.0,6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova,3
193,24.0,6,200.0,81.0,3012.0,17.6,76,1,ford maverick,3
194,22.5,6,232.0,90.0,3085.0,17.6,76,1,amc hornet,3
195,29.0,4,85.0,52.0,2035.0,22.2,76,1,chevrolet chevette,1
196,24.5,4,98.0,60.0,2164.0,22.1,76,1,chevrolet woody,1
197,29.0,4,90.0,70.0,1937.0,14.2,76,2,vw rabbit,1
198,33.0,4,91.0,53.0,1795.0,17.4,76,3,honda civic,1
199,20.0,6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se,3
