Unnamed: 0,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,cluster
200,18.0,6,250.0,78.0,3574.0,21.0,76,1,ford granada ghia,3
201,18.5,6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj,3
202,17.5,6,258.0,95.0,3193.0,17.8,76,1,amc pacer d/l,3
203,29.5,4,97.0,71.0,1825.0,12.2,76,2,volkswagen rabbit,1
204,32.0,4,85.0,70.0,1990.0,17.0,76,3,datsun b-210,1
205,28.0,4,97.0,75.0,2155.0,16.4,76,3,toyota corolla,1
206,26.5,4,140.0,72.0,2565.0,13.6,76,1,ford pinto,1
207,20.0,4,130.0,102.0,3150.0,15.7,76,2,volvo 245,3
208,13.0,8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8,2
209,19.0,4,120.0,88.0,3270.0,21.9,76,2,peugeot 504,3
210,19.0,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii,3
211,16.5,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s,2
212,16.5,8,350.0,180.0,4380.0,12.1,76,1,cadillac seville,2
213,13.0,8,350.0,145.0,4055.0,12.0,76,1,chevy c10,2
214,13.0,8,302.0,130.0,3870.0,15.0,76,1,ford f108,2
215,13.0,8,318.0,150.0,3755.0,14.0,76,1,dodge d100,2
216,31.5,4,98.0,68.0,2045.0,18.5,77,3,honda accord cvcc,1
217,30.0,4,111.0,80.0,2155.0,14.8,77,1,buick opel isuzu deluxe,1
218,36.0,4,79.0,58.0,1825.0,18.6,77,2,renault 5 gtl,1
219,25.5,4,122.0,96.0,2300.0,15.5,77,1,plymouth arrow gs,1
220,33.5,4,85.0,70.0,1945.0,16.8,77,3,datsun f-10 hatchback,1
221,17.5,8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic,2
222,17.0,8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme,2
223,15.5,8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham,2
224,15.0,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham,2
225,17.5,6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours,3
226,20.5,6,231.0,105.0,3425.0,16.9,77,1,buick skylark,3
227,19.0,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom,3
228,18.5,6,250.0,98.0,3525.0,19.0,77,1,ford granada,3
229,16.0,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj,2
230,15.5,8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau,2
231,15.5,8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba,2
232,16.0,8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird,2
233,29.0,4,97.0,78.0,1940.0,14.5,77,2,volkswagen rabbit custom,1
234,24.5,4,151.0,88.0,2740.0,16.0,77,1,pontiac sunbird coupe,3
235,26.0,4,97.0,75.0,2265.0,18.2,77,3,toyota corolla liftback,1
236,25.5,4,140.0,89.0,2755.0,15.8,77,1,ford mustang ii 2+2,3
237,30.5,4,98.0,63.0,2051.0,17.0,77,1,chevrolet chevette,1
238,33.5,4,98.0,83.0,2075.0,15.9,77,1,dodge colt m/m,1
239,30.0,4,97.0,67.0,1985.0,16.4,77,3,subaru dl,1
240,30.5,4,97.0,78.0,2190.0,14.1,77,2,volkswagen dasher,1
241,22.0,6,146.0,97.0,2815.0,14.5,77,3,datsun 810,3
242,21.5,4,121.0,110.0,2600.0,12.8,77,2,bmw 320i,1
243,21.5,3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4,3
244,43.1,4,90.0,48.0,1985.0,21.5,78,2,volkswagen rabbit custom diesel,1
245,36.1,4,98.0,66.0,1800.0,14.4,78,1,ford fiesta,1
246,32.8,4,78.0,52.0,1985.0,19.4,78,3,mazda glc deluxe,1
247,39.4,4,85.0,70.0,2070.0,18.6,78,3,datsun b210 gx,1
248,36.1,4,91.0,60.0,1800.0,16.4,78,3,honda civic cvcc,1
249,19.9,8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham,3
250,19.4,8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat,2
251,20.2,8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia,3
252,19.2,6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj,3
253,20.5,6,200.0,95.0,3155.0,18.2,78,1,chevrolet malibu,3
254,20.2,6,200.0,85.0,2965.0,15.8,78,1,ford fairmont (auto),3
255,25.1,4,140.0,88.0,2720.0,15.4,78,1,ford fairmont (man),3
256,20.5,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare,3
257,19.4,6,232.0,90.0,3210.0,17.2,78,1,amc concord,3
258,20.6,6,231.0,105.0,3380.0,15.8,78,1,buick century special,3
259,20.8,6,200.0,85.0,3070.0,16.7,78,1,mercury zephyr,3
260,18.6,6,225.0,110.0,3620.0,18.7,78,1,dodge aspen,3
261,18.1,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l,3
262,19.2,8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau,3
263,17.7,6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo),3
264,18.1,8,302.0,139.0,3205.0,11.2,78,1,ford futura,3
265,17.5,8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe,2
266,30.0,4,98.0,68.0,2155.0,16.5,78,1,chevrolet chevette,1
267,27.5,4,134.0,95.0,2560.0,14.2,78,3,toyota corona,1
268,27.2,4,119.0,97.0,2300.0,14.7,78,3,datsun 510,1
269,30.9,4,105.0,75.0,2230.0,14.5,78,1,dodge omni,1
270,21.1,4,134.0,95.0,2515.0,14.8,78,3,toyota celica gt liftback,1
271,23.2,4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo,3
272,23.8,4,151.0,85.0,2855.0,17.6,78,1,oldsmobile starfire sx,3
273,23.9,4,119.0,97.0,2405.0,14.9,78,3,datsun 200-sx,1
274,20.3,5,131.0,103.0,2830.0,15.9,78,2,audi 5000,3
275,17.0,6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl,3
276,21.6,4,121.0,115.0,2795.0,15.7,78,2,saab 99gle,3
277,16.2,6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl,3
278,31.5,4,89.0,71.0,1990.0,14.9,78,2,volkswagen scirocco,1
279,29.5,4,98.0,68.0,2135.0,16.6,78,3,honda accord lx,1
280,21.5,6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6,3
281,19.8,6,200.0,85.0,2990.0,18.2,79,1,mercury zephyr 6,3
282,22.3,4,140.0,88.0,2890.0,17.3,79,1,ford fairmont 4,3
283,20.2,6,232.0,90.0,3265.0,18.2,79,1,amc concord dl 6,3
284,20.6,6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6,3
285,17.0,8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic,2
286,17.6,8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau,2
287,16.5,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis,2
288,18.2,8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis,2
289,16.9,8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw),2
290,15.5,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw),2
291,19.2,8,267.0,125.0,3605.0,15.0,79,1,chevrolet malibu classic (sw),3
292,18.5,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw),2
293,31.9,4,89.0,71.0,1925.0,14.0,79,2,vw rabbit custom,1
294,34.1,4,86.0,65.0,1975.0,15.2,79,3,maxda glc deluxe,1
295,35.7,4,98.0,80.0,1915.0,14.4,79,1,dodge colt hatchback custom,1
296,27.4,4,121.0,80.0,2670.0,15.0,79,1,amc spirit dl,1
297,25.4,5,183.0,77.0,3530.0,20.1,79,2,mercedes benz 300d,3
298,23.0,8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado,2
299,27.2,4,141.0,71.0,3190.0,24.8,79,2,peugeot 504,3
300,23.9,8,260.0,90.0,3420.0,22.2,79,1,oldsmobile cutlass salon brougham,3
301,34.2,4,105.0,70.0,2200.0,13.2,79,1,plymouth horizon,1
302,34.5,4,105.0,70.0,2150.0,14.9,79,1,plymouth horizon tc3,1
303,31.8,4,85.0,65.0,2020.0,19.2,79,3,datsun 210,1
304,37.3,4,91.0,69.0,2130.0,14.7,79,2,fiat strada custom,1
305,28.4,4,151.0,90.0,2670.0,16.0,79,1,buick skylark limited,1
306,28.8,6,173.0,115.0,2595.0,11.3,79,1,chevrolet citation,1
307,26.8,6,173.0,115.0,2700.0,12.9,79,1,oldsmobile omega brougham,3
308,33.5,4,151.0,90.0,2556.0,13.2,79,1,pontiac phoenix,1
309,41.5,4,98.0,76.0,2144.0,14.7,80,2,vw rabbit,1
310,38.1,4,89.0,60.0,1968.0,18.8,80,3,toyota corolla tercel,1
311,32.1,4,98.0,70.0,2120.0,15.5,80,1,chevrolet chevette,1
312,37.2,4,86.0,65.0,2019.0,16.4,80,3,datsun 310,1
313,28.0,4,151.0,90.0,2678.0,16.5,80,1,chevrolet citation,1
314,26.4,4,140.0,88.0,2870.0,18.1,80,1,ford fairmont,3
315,24.3,4,151.0,90.0,3003.0,20.1,80,1,amc concord,3
316,19.1,6,225.0,90.0,3381.0,18.7,80,1,dodge aspen,3
317,34.3,4,97.0,78.0,2188.0,15.8,80,2,audi 4000,1
318,29.8,4,134.0,90.0,2711.0,15.5,80,3,toyota corona liftback,3
319,31.3,4,120.0,75.0,2542.0,17.5,80,3,mazda 626,1
320,37.0,4,119.0,92.0,2434.0,15.0,80,3,datsun 510 hatchback,1
321,32.2,4,108.0,75.0,2265.0,15.2,80,3,toyota corolla,1
322,46.6,4,86.0,65.0,2110.0,17.9,80,3,mazda glc,1
323,27.9,4,156.0,105.0,2800.0,14.4,80,1,dodge colt,3
324,40.8,4,85.0,65.0,2110.0,19.2,80,3,datsun 210,1
325,44.3,4,90.0,48.0,2085.0,21.7,80,2,vw rabbit c (diesel),1
326,43.4,4,90.0,48.0,2335.0,23.7,80,2,vw dasher (diesel),1
327,36.4,5,121.0,67.0,2950.0,19.9,80,2,audi 5000s (diesel),3
328,30.0,4,146.0,67.0,3250.0,21.8,80,2,mercedes-benz 240d,3
329,44.6,4,91.0,67.0,1850.0,13.8,80,3,honda civic 1500 gl,1
330,40.9,4,85.0,104.46938775510205,1835.0,17.3,80,2,renault lecar deluxe,1
331,33.8,4,97.0,67.0,2145.0,18.0,80,3,subaru dl,1
332,29.8,4,89.0,62.0,1845.0,15.3,80,2,vokswagen rabbit,1
333,32.7,6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx,3
334,23.7,3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs,1
335,35.0,4,122.0,88.0,2500.0,15.1,80,2,triumph tr7 coupe,1
336,23.6,4,140.0,104.46938775510205,2905.0,14.3,80,1,ford mustang cobra,3
337,32.4,4,107.0,72.0,2290.0,17.0,80,3,honda accord,1
338,27.2,4,135.0,84.0,2490.0,15.7,81,1,plymouth reliant,1
339,26.6,4,151.0,84.0,2635.0,16.4,81,1,buick skylark,1
340,25.8,4,156.0,92.0,2620.0,14.4,81,1,dodge aries wagon (sw),1
341,23.5,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation,3
342,30.0,4,135.0,84.0,2385.0,12.9,81,1,plymouth reliant,1
343,39.1,4,79.0,58.0,1755.0,16.9,81,3,toyota starlet,1
344,39.0,4,86.0,64.0,1875.0,16.4,81,1,plymouth champ,1
345,35.1,4,81.0,60.0,1760.0,16.1,81,3,honda civic 1300,1
346,32.3,4,97.0,67.0,2065.0,17.8,81,3,subaru,1
347,37.0,4,85.0,65.0,1975.0,19.4,81,3,datsun 210 mpg,1
348,37.7,4,89.0,62.0,2050.0,17.3,81,3,toyota tercel,1
349,34.1,4,91.0,68.0,1985.0,16.0,81,3,mazda glc 4,1
350,34.7,4,105.0,63.0,2215.0,14.9,81,1,plymouth horizon 4,1
351,34.4,4,98.0,65.0,2045.0,16.2,81,1,ford escort 4w,1
352,29.9,4,98.0,65.0,2380.0,20.7,81,1,ford escort 2h,1
353,33.0,4,105.0,74.0,2190.0,14.2,81,2,volkswagen jetta,1
354,34.5,4,100.0,104.46938775510205,2320.0,15.8,81,2,renault 18i,1
355,33.7,4,107.0,75.0,2210.0,14.4,81,3,honda prelude,1
356,32.4,4,108.0,75.0,2350.0,16.8,81,3,toyota corolla,1
357,32.9,4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx,1
358,31.6,4,120.0,74.0,2635.0,18.3,81,3,mazda 626,1
359,28.1,4,141.0,80.0,3230.0,20.4,81,2,peugeot 505s turbo diesel,3
360,30.7,6,145.0,76.0,3160.0,19.6,81,2,volvo diesel,3
361,25.4,6,168.0,116.0,2900.0,12.6,81,3,toyota cressida,3
362,24.2,6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima,3
363,22.4,6,231.0,110.0,3415.0,15.8,81,1,buick century,3
364,26.6,8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls,2
365,20.2,6,200.0,88.0,3060.0,17.1,81,1,ford granada gl,3
366,17.6,6,225.0,85.0,3465.0,16.6,81,1,chrysler lebaron salon,3
367,28.0,4,112.0,88.0,2605.0,19.6,82,1,chevrolet cavalier,1
368,27.0,4,112.0,88.0,2640.0,18.6,82,1,chevrolet cavalier wagon,1
369,34.0,4,112.0,88.0,2395.0,18.0,82,1,chevrolet cavalier 2-door,1
370,31.0,4,112.0,85.0,2575.0,16.2,82,1,pontiac j2000 se hatchback,1
371,29.0,4,135.0,84.0,2525.0,16.0,82,1,dodge aries se,1
372,27.0,4,151.0,90.0,2735.0,18.0,82,1,pontiac phoenix,3
373,24.0,4,140.0,92.0,2865.0,16.4,82,1,ford fairmont futura,3
374,23.0,4,151.0,104.46938775510205,3035.0,20.5,82,1,amc concord dl,3
375,36.0,4,105.0,74.0,1980.0,15.3,82,2,volkswagen rabbit l,1
376,37.0,4,91.0,68.0,2025.0,18.2,82,3,mazda glc custom l,1
377,31.0,4,91.0,68.0,1970.0,17.6,82,3,mazda glc custom,1
378,38.0,4,105.0,63.0,2125.0,14.7,82,1,plymouth horizon miser,1
379,36.0,4,98.0,70.0,2125.0,17.3,82,1,mercury lynx l,1
380,36.0,4,120.0,88.0,2160.0,14.5,82,3,nissan stanza xe,1
381,36.0,4,107.0,75.0,2205.0,14.5,82,3,honda accord,1
382,34.0,4,108.0,70.0,2245.0,16.9,82,3,toyota corolla,1
383,38.0,4,91.0,67.0,1965.0,15.0,82,3,honda civic,1
384,32.0,4,91.0,67.0,1965.0,15.7,82,3,honda civic (auto),1
385,38.0,4,91.0,67.0,1995.0,16.2,82,3,datsun 310 gx,1
386,25.0,6,181.0,110.0,2945.0,16.4,82,1,buick century limited,3
387,38.0,6,262.0,85.0,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel),3
388,26.0,4,156.0,92.0,2585.0,14.5,82,1,chrysler lebaron medallion,1
389,22.0,6,232.0,112.0,2835.0,14.7,82,1,ford granada l,3
390,32.0,4,144.0,96.0,2665.0,13.9,82,3,toyota celica gt,1
391,36.0,4,135.0,84.0,2370.0,13.0,82,1,dodge charger 2.2,1
392,27.0,4,151.0,90.0,2950.0,17.3,82,1,chevrolet camaro,3
393,27.0,4,140.0,86.0,2790.0,15.6,82,1,ford mustang gl,3
394,44.0,4,97.0,52.0,2130.0,24.6,82,2,vw pickup,1
395,32.0,4,135.0,84.0,2295.0,11.6,82,1,dodge rampage,1
396,28.0,4,120.0,79.0,2625.0,18.6,82,1,ford ranger,1
397,31.0,4,119.0,82.0,2720.0,19.4,82,1,chevy s-10,3
